variable,correlation_day0,correlation_day3,worth_adding,available
apparent_temperature,-0.5239895313356338,-0.5247774264995835,True,True
dew_point_2m,-0.5048748927302139,-0.5175855977275521,True,True
soil_temperature_0_to_7cm,-0.4999463078715228,-0.5133347049158195,True,True
surface_pressure,0.5205339043643371,0.5037425876772371,True,True
wind_gusts_10m,-0.48822823051147896,-0.4343258527615158,True,True
european_aqi,0.758714176050061,0.422949506725178,True,True
boundary_layer_height,-0.3639896249745455,-0.32565894914092197,True,True
shortwave_radiation,-0.2799704251692473,-0.2860602859671356,True,True
cloud_cover,-0.24346950726080394,-0.2652092722461686,True,True
dust,-0.1374021197892181,-0.2108628817736966,True,True
vapour_pressure_deficit,0.2195974790213279,0.19556218232191208,True,True
et0_fao_evapotranspiration,-0.17821658115514175,-0.1736422222785129,True,True
nitrogen_monoxide,0.2224449165590345,0.10757882457649626,False,True
sunshine_duration,-0.026010839090259308,-0.0011385703769799767,False,True
