rank,feature,perm_importance,perm_std
1,log_PM2_5,0.12126639388639138,0.06883683952055192
2,AQI_roll_std_7,0.11136938887618916,0.04571019873519833
3,AQI_lag_3,0.04956321178325031,0.016159187202593187
4,AQI_roll_mean_7,0.04022544527630012,0.017995617038850983
5,NO2,0.03521658082530273,0.011819286006525065
6,PM10_lag_1,0.032574875675617954,0.03228978389894359
7,Temperature,0.02436338886514001,0.014176452792033667
8,PM10,0.022953654369143605,0.028763254518538086
9,Humidity_roll_mean_7,0.010894658241879818,0.012120129181710475
10,AQI_lag_1,0.00885347976529185,0.00917907277332606
11,Temperature_roll_mean_7,0.008064999196703037,0.018127157761116574
12,AQI_roll_std_3,0.008053147819519046,0.016823595820615815
13,Humidity,0.007202678676620245,0.014709544752492077
14,AQI,0.00607841315023504,0.014381923132426219
15,wind_sin,0.002521349137495432,0.012288845974382488
16,AQI_diff,0.0021129913237874164,0.015855554945639665
17,weekday_2,0.001790598315051828,0.0026914446243517707
18,AQI_lag_7,0.001017401303246801,0.007399692411778626
19,AQI_roll_mean_3,0.0009399464460862261,0.0154579389727615
20,season_Summer,0.0,0.0
