feature,mean_abs_shap,rank
log_PM2_5,5.884471660222632,1
AQI_roll_std_7,2.2281140756456708,2
Temperature,2.086800133570913,3
Temperature_roll_mean_7,1.9740610882605383,4
AQI_roll_mean_7,1.9154693209243343,5
month,1.6625100489002478,6
SO2,1.2123347904428874,7
PM10_lag_1,1.0598214159057755,8
PM10,0.8717069672954347,9
wind_speed_lag_1,0.7916077478647947,10
log_PM2_5_lag_1,0.7417346744575609,11
O3,0.7345112685603155,12
wind_sin,0.7075796243474943,13
AQI_roll_std_3,0.6978626109116458,14
AQI_lag_3,0.6670977968522684,15
Humidity_roll_mean_7,0.6200776623031105,16
wind_speed,0.5957195354938072,17
AQI_roll_min_3,0.5440755561921348,18
Humidity,0.5222873032929862,19
wind_cos,0.4950731314443037,20
AQI,0.48878874996463034,21
AQI_roll_max_3,0.4088204272341623,22
NO2,0.39530493542543527,23
AQI_diff,0.3713560670511197,24
AQI_roll_mean_3,0.33846160057626123,25
AQI_lag_1,0.3111960490333236,26
season_Spring,0.29203923705393947,27
AQI_lag_7,0.2846368686409288,28
AQI_lag_2,0.26136054646397777,29
log_CO,0.12944173680199117,30
weekday_3,0.0906909066003138,31
season_Summer,0.07888970757837603,32
weekday_4,0.0642366258642686,33
weekday_2,0.05467905975843033,34
weekday_1,0.021713328483590078,35
season_Winter,0.021370956933035392,36
weekday_5,0.010193188639652555,37
Precipitation,0.0,38
weekday_6,0.0,39
