feature,mean_abs_shap,rank
AQI,7.182979126849824,1
log_PM2_5,6.511715734164269,2
AQI_lag_1h,3.01341026479273,3
log_PM2_5_lag_24h,1.532387983413641,4
AQI_lag_6h,1.078825295840531,5
PM10,1.0535343517095797,6
log_PM2_5_lag_1h,0.9095629845917095,7
hour_sin,0.8421079980226289,8
PM10_lag_24h,0.7536000432039254,9
SO2,0.6926113538981579,10
O3,0.6530216128746263,11
hour_cos,0.6511766908820358,12
wind_sin,0.5891102274566542,13
AQI_roll_min_24h,0.5114229233905001,14
month,0.37665443566673534,15
AQI_roll_mean_6h,0.3677598710770314,16
wind_speed,0.3577920119183048,17
AQI_roll_mean_12h,0.33083584801324567,18
Humidity,0.3091357636002028,19
NO2,0.2979820573000166,20
AQI_roll_max_24h,0.19578595716319028,21
wind_cos,0.19546419340372756,22
Temperature,0.19498103477336193,23
AQI_lag_24h,0.15963697038711003,24
AQI_lag_48h,0.15551250179883744,25
weekday_5,0.15464253121431124,26
AQI_lag_168h,0.14279633735659414,27
AQI_lag_3h,0.1296039973655961,28
season_Spring,0.12625127377845474,29
AQI_roll_mean_24h,0.12313059492409306,30
PM10_lag_1h,0.12057656734313126,31
AQI_roll_std_24h,0.11016230986434519,32
log_CO,0.10231821579460032,33
AQI_lag_12h,0.0965552963249075,34
AQI_roll_mean_3h,0.046667394293866335,35
season_Summer,0.03695121084383147,36
weekday_1,0.02804218355305105,37
weekday_6,0.027050253275074165,38
is_rush_hour,0.026663391521574244,39
AQI_lag_2h,0.026631549732093997,40
season_Winter,0.02659490804519934,41
weekday_2,0.021681769664696374,42
weekday_3,0.018808063057105338,43
weekday_4,0.016468653035085577,44
Precipitation,0.0,45
