feature,pct_missing,n_missing,first_missing,last_missing
wind_speed_80m,100.0,3073,2018-01-01,2026-05-31
visibility,100.0,3073,2018-01-01,2026-05-31
cape,100.0,3073,2018-01-01,2026-05-31
cape_t3,99.97,3072,2018-01-01,2026-05-31
wind_speed_80m_t3,99.97,3072,2018-01-01,2026-05-31
visibility_t3,99.97,3072,2018-01-01,2026-05-31
AQI_t+4,55.16,1695,2018-01-01,2026-05-31
AQI_t+3,55.13,1694,2018-01-01,2026-05-31
AQI_t+2,55.09,1693,2018-01-01,2026-05-31
AQI_t+1,55.06,1692,2018-01-01,2026-05-31
dust_t2,55.03,1691,2018-01-01,2022-08-18
dust_t3,55.03,1691,2018-01-01,2022-08-18
surface_pressure_t3,55.03,1691,2018-01-01,2022-08-18
temp_inversion,55.03,1691,2018-01-01,2022-08-18
vpd,55.03,1691,2018-01-01,2022-08-18
vpd_lag_1,55.03,1691,2018-01-01,2022-08-18
weekday_1,55.03,1691,2018-01-01,2022-08-18
weekday_2,55.03,1691,2018-01-01,2022-08-18
weekday_3,55.03,1691,2018-01-01,2022-08-18
weekday_4,55.03,1691,2018-01-01,2022-08-18
weekday_5,55.03,1691,2018-01-01,2022-08-18
weekday_6,55.03,1691,2018-01-01,2022-08-18
weekday_cos,55.03,1691,2018-01-01,2022-08-18
weekday_sin,55.03,1691,2018-01-01,2022-08-18
wind_cos,55.03,1691,2018-01-01,2022-08-18
wind_dir_cos,55.03,1691,2018-01-01,2022-08-18
surface_pressure_t2,55.03,1691,2018-01-01,2022-08-18
surface_pressure_t1,55.03,1691,2018-01-01,2022-08-18
surface_pressure_roll_mean_7,55.03,1691,2018-01-01,2022-08-18
season_Spring,55.03,1691,2018-01-01,2022-08-18
log_CO,55.03,1691,2018-01-01,2022-08-18
log_PM2_5,55.03,1691,2018-01-01,2022-08-18
log_PM2_5_lag_1,55.03,1691,2018-01-01,2022-08-18
log_aod,55.03,1691,2018-01-01,2022-08-18
month,55.03,1691,2018-01-01,2022-08-18
month_cos,55.03,1691,2018-01-01,2022-08-18
month_sin,55.03,1691,2018-01-01,2022-08-18
season_Summer,55.03,1691,2018-01-01,2022-08-18
surface_pressure_lag_1,55.03,1691,2018-01-01,2022-08-18
season_Winter,55.03,1691,2018-01-01,2022-08-18
shortwave_rad_lag_1,55.03,1691,2018-01-01,2022-08-18
shortwave_rad_t1,55.03,1691,2018-01-01,2022-08-18
shortwave_rad_t2,55.03,1691,2018-01-01,2022-08-18
shortwave_rad_t3,55.03,1691,2018-01-01,2022-08-18
wind_dir_cos_t2,55.03,1691,2018-01-01,2022-08-18
stagnant_air,55.03,1691,2018-01-01,2022-08-18
wind_dir_cos_t1,55.03,1691,2018-01-01,2022-08-18
wind_dir_sin_t3,55.03,1691,2018-01-01,2022-08-18
wind_dir_cos_t3,55.03,1691,2018-01-01,2022-08-18
uv_index_t3,55.03,1691,2018-01-01,2022-08-18
Humidity_t4,55.03,1691,2018-01-01,2022-08-18
PM2_5_t4,55.03,1691,2018-01-01,2022-08-18
Precipitation_t4,55.03,1691,2018-01-01,2022-08-18
Temperature_t4,55.03,1691,2018-01-01,2022-08-18
aod_t4,55.03,1691,2018-01-01,2022-08-18
apparent_temp_t4,55.03,1691,2018-01-01,2022-08-18
cloud_cover_t4,55.03,1691,2018-01-01,2022-08-18
dust_t4,55.03,1691,2018-01-01,2022-08-18
shortwave_rad_t4,55.03,1691,2018-01-01,2022-08-18
surface_pressure_t4,55.03,1691,2018-01-01,2022-08-18
uv_index_t4,55.03,1691,2018-01-01,2022-08-18
wind_dir_cos_t4,55.03,1691,2018-01-01,2022-08-18
wind_dir_sin_t4,55.03,1691,2018-01-01,2022-08-18
wind_gusts_t4,55.03,1691,2018-01-01,2022-08-18
wind_speed_t4,55.03,1691,2018-01-01,2022-08-18
BLH_t4,55.03,1691,2018-01-01,2022-08-18
uv_index_t2,55.03,1691,2018-01-01,2022-08-18
wind_dir_sin,55.03,1691,2018-01-01,2022-08-18
uv_index_t1,55.03,1691,2018-01-01,2022-08-18
wind_dir_sin_t1,55.03,1691,2018-01-01,2022-08-18
wind_dir_sin_t2,55.03,1691,2018-01-01,2022-08-18
dust_roll_mean_7,55.03,1691,2018-01-01,2022-08-18
wind_gusts_lag_1,55.03,1691,2018-01-01,2022-08-18
wind_gusts_roll_mean_7,55.03,1691,2018-01-01,2022-08-18
wind_gusts_t1,55.03,1691,2018-01-01,2022-08-18
wind_gusts_t2,55.03,1691,2018-01-01,2022-08-18
wind_gusts_t3,55.03,1691,2018-01-01,2022-08-18
wind_sin,55.03,1691,2018-01-01,2022-08-18
wind_speed_lag_1,55.03,1691,2018-01-01,2022-08-18
wind_speed_t1,55.03,1691,2018-01-01,2022-08-18
wind_speed_t2,55.03,1691,2018-01-01,2022-08-18
wind_speed_t3,55.03,1691,2018-01-01,2022-08-18
wind_x_PM2_5_lag1,55.03,1691,2018-01-01,2022-08-18
uv_index_lag_1,55.03,1691,2018-01-01,2022-08-18
dust_t1,55.03,1691,2018-01-01,2022-08-18
doy_sin,55.03,1691,2018-01-01,2022-08-18
dust_lag_1,55.03,1691,2018-01-01,2022-08-18
AQI_roll_min_3,55.03,1691,2018-01-01,2022-08-18
AQI_roll_std_14,55.03,1691,2018-01-01,2022-08-18
AQI_roll_std_3,55.03,1691,2018-01-01,2022-08-18
AQI_roll_std_7,55.03,1691,2018-01-01,2022-08-18
AQI_trend_7d,55.03,1691,2018-01-01,2022-08-18
AQI_x_month_sin,55.03,1691,2018-01-01,2022-08-18
AQI_x_wind,55.03,1691,2018-01-01,2022-08-18
BLH_lag_1,55.03,1691,2018-01-01,2022-08-18
BLH_roll_mean_7,55.03,1691,2018-01-01,2022-08-18
BLH_t1,55.03,1691,2018-01-01,2022-08-18
BLH_t2,55.03,1691,2018-01-01,2022-08-18
BLH_t3,55.03,1691,2018-01-01,2022-08-18
CO_lag_1,55.03,1691,2018-01-01,2022-08-18
