feature,mean_abs_shap,rank
month,3.4928674733238227,1
log_PM2_5,3.23721567140061,2
AQI,2.365027065718346,3
season_Spring,1.8698912746079968,4
Temperature,1.7820089933628491,5
AQI_roll_mean_24h,1.5752204428141772,6
AQI_roll_min_24h,1.4171952203467202,7
SO2,1.3520156746301406,8
PM10_lag_24h,1.3162423714213356,9
Humidity,0.967929765083065,10
AQI_roll_mean_6h,0.9236714926322185,11
AQI_roll_max_24h,0.8882917318325197,12
PM10,0.8737256161927611,13
wind_sin,0.7261223234251544,14
AQI_lag_168h,0.7059469322153309,15
AQI_lag_12h,0.5640292851996264,16
wind_speed,0.548199562977658,17
O3,0.5438895567697327,18
NO2,0.5316074857658144,19
AQI_roll_std_24h,0.5269646789865907,20
AQI_lag_48h,0.47719530530002724,21
log_CO,0.4394899397384244,22
AQI_lag_1h,0.4096010619258051,23
AQI_roll_mean_12h,0.4072740142927248,24
weekday_4,0.3799201369833906,25
weekday_3,0.366541943057385,26
AQI_lag_24h,0.34106193827169706,27
log_PM2_5_lag_1h,0.30318261003275854,28
weekday_5,0.29113959651222154,29
log_PM2_5_lag_24h,0.265531892956051,30
weekday_2,0.26265877112639857,31
wind_cos,0.26199480964834804,32
PM10_lag_1h,0.21752775964215756,33
AQI_lag_6h,0.1841610421677035,34
weekday_1,0.16290874422633345,35
season_Summer,0.09998208637364694,36
AQI_roll_mean_3h,0.07701920468922223,37
AQI_lag_3h,0.06356158586028098,38
hour_cos,0.05422226508193411,39
AQI_lag_2h,0.054074893246315946,40
weekday_6,0.04912788529112142,41
season_Winter,0.044356590244793555,42
hour_sin,0.03427235417089138,43
Precipitation,0.0,44
is_rush_hour,0.0,45
