feature,lag,target,r
PM10,0,AQI_t+1,0.539692717807295
PM10,0,AQI_t+2,0.35410108156994163
PM10,0,AQI_t+3,0.23001831054928865
PM10,1,AQI_t+1,0.35432320776111725
PM10,1,AQI_t+2,0.23024789654332542
PM10,1,AQI_t+3,0.14908123425936795
PM10,2,AQI_t+1,0.23066348046756516
PM10,2,AQI_t+2,0.14948606149786803
PM10,2,AQI_t+3,0.11462669490780025
PM10,3,AQI_t+1,0.149755734637851
PM10,3,AQI_t+2,0.11487111601673367
PM10,3,AQI_t+3,0.10085280527404789
PM10,4,AQI_t+1,0.11523083153037642
PM10,4,AQI_t+2,0.10116989999933279
PM10,4,AQI_t+3,0.07602389041931577
PM10,5,AQI_t+1,0.10151303505944793
PM10,5,AQI_t+2,0.07633053018956551
PM10,5,AQI_t+3,0.05138520652508689
PM10,6,AQI_t+1,0.07653567899739806
PM10,6,AQI_t+2,0.05156918318008508
PM10,6,AQI_t+3,0.024933497772625303
PM10,7,AQI_t+1,0.05177366400207482
PM10,7,AQI_t+2,0.02511692706090532
PM10,7,AQI_t+3,0.013677221718348117
NO2,0,AQI_t+1,0.6543583638924749
NO2,0,AQI_t+2,0.5431987357615257
NO2,0,AQI_t+3,0.49806995429065826
NO2,1,AQI_t+1,0.5433269047300359
NO2,1,AQI_t+2,0.49819273336312925
NO2,1,AQI_t+3,0.47691268319229047
NO2,2,AQI_t+1,0.49810509097022165
NO2,2,AQI_t+2,0.47684722077882397
NO2,2,AQI_t+3,0.488658274669709
NO2,3,AQI_t+1,0.475706743096917
NO2,3,AQI_t+2,0.4876124037014286
NO2,3,AQI_t+3,0.48385055029315394
NO2,4,AQI_t+1,0.4857701495889442
NO2,4,AQI_t+2,0.48215769742004844
NO2,4,AQI_t+3,0.46247525285412466
NO2,5,AQI_t+1,0.4821183513419641
NO2,5,AQI_t+2,0.46245141098130094
NO2,5,AQI_t+3,0.45156488117831606
NO2,6,AQI_t+1,0.4616211117507832
NO2,6,AQI_t+2,0.45082652103639315
NO2,6,AQI_t+3,0.44578601736545914
NO2,7,AQI_t+1,0.45007669930200606
NO2,7,AQI_t+2,0.44511868252982856
NO2,7,AQI_t+3,0.4499026446947323
SO2,0,AQI_t+1,0.7206401094166961
SO2,0,AQI_t+2,0.613981051116783
SO2,0,AQI_t+3,0.5618683316088812
SO2,1,AQI_t+1,0.6140472258920444
SO2,1,AQI_t+2,0.5619405760067044
SO2,1,AQI_t+3,0.530581489339925
SO2,2,AQI_t+1,0.5616651182208974
SO2,2,AQI_t+2,0.5303526382353655
SO2,2,AQI_t+3,0.5320398633155714
SO2,3,AQI_t+1,0.5279564135763231
SO2,3,AQI_t+2,0.5298049548803083
SO2,3,AQI_t+3,0.5241883180835815
SO2,4,AQI_t+1,0.5245874717781356
SO2,4,AQI_t+2,0.5192664050286946
SO2,4,AQI_t+3,0.509882303197607
